State Code,State,Year Code,Month Code,Deaths
48,Texas,2000,2000/01,98
48,Texas,2000,2000/02,97
48,Texas,2000,2000/03,107
48,Texas,2000,2000/04,112
48,Texas,2000,2000/05,133
48,Texas,2000,2000/06,112
48,Texas,2000,2000/07,134
48,Texas,2000,2000/08,94
48,Texas,2000,2000/09,98
48,Texas,2000,2000/10,99
48,Texas,2000,2000/11,105
48,Texas,2000,2000/12,92
48,Texas,2001,2001/01,130
48,Texas,2001,2001/02,129
48,Texas,2001,2001/03,110
48,Texas,2001,2001/04,118
48,Texas,2001,2001/05,120
48,Texas,2001,2001/06,116
48,Texas,2001,2001/07,113
48,Texas,2001,2001/08,120
48,Texas,2001,2001/09,110
48,Texas,2001,2001/10,118
48,Texas,2001,2001/11,101
48,Texas,2001,2001/12,95
48,Texas,2002,2002/01,125
48,Texas,2002,2002/02,92
48,Texas,2002,2002/03,110
48,Texas,2002,2002/04,102
48,Texas,2002,2002/05,106
48,Texas,2002,2002/06,121
48,Texas,2002,2002/07,91
48,Texas,2002,2002/08,117
48,Texas,2002,2002/09,115
48,Texas,2002,2002/10,116
48,Texas,2002,2002/11,110
48,Texas,2002,2002/12,111
48,Texas,2003,2003/01,116
48,Texas,2003,2003/02,104
48,Texas,2003,2003/03,127
48,Texas,2003,2003/04,104
48,Texas,2003,2003/05,126
48,Texas,2003,2003/06,122
48,Texas,2003,2003/07,98
48,Texas,2003,2003/08,115
48,Texas,2003,2003/09,97
48,Texas,2003,2003/10,118
48,Texas,2003,2003/11,115
48,Texas,2003,2003/12,110
48,Texas,2004,2004/01,99
48,Texas,2004,2004/02,98
48,Texas,2004,2004/03,125
48,Texas,2004,2004/04,111
48,Texas,2004,2004/05,136
48,Texas,2004,2004/06,97
48,Texas,2004,2004/07,121
48,Texas,2004,2004/08,111
48,Texas,2004,2004/09,119
48,Texas,2004,2004/10,114
48,Texas,2004,2004/11,104
48,Texas,2004,2004/12,86
48,Texas,2005,2005/01,111
48,Texas,2005,2005/02,115
48,Texas,2005,2005/03,125
48,Texas,2005,2005/04,113
48,Texas,2005,2005/05,132
48,Texas,2005,2005/06,104
48,Texas,2005,2005/07,118
48,Texas,2005,2005/08,113
48,Texas,2005,2005/09,129
48,Texas,2005,2005/10,106
48,Texas,2005,2005/11,112
48,Texas,2005,2005/12,103
48,Texas,2006,2006/01,97
48,Texas,2006,2006/02,105
48,Texas,2006,2006/03,116
48,Texas,2006,2006/04,107
48,Texas,2006,2006/05,117
48,Texas,2006,2006/06,114
48,Texas,2006,2006/07,128
48,Texas,2006,2006/08,127
48,Texas,2006,2006/09,95
48,Texas,2006,2006/10,114
48,Texas,2006,2006/11,95
48,Texas,2006,2006/12,96
48,Texas,2007,2007/01,115
48,Texas,2007,2007/02,101
48,Texas,2007,2007/03,127
48,Texas,2007,2007/04,114
48,Texas,2007,2007/05,130
48,Texas,2007,2007/06,132
48,Texas,2007,2007/07,121
48,Texas,2007,2007/08,128
48,Texas,2007,2007/09,117
48,Texas,2007,2007/10,123
48,Texas,2007,2007/11,109
48,Texas,2007,2007/12,99
48,Texas,2008,2008/01,119
48,Texas,2008,2008/02,134
48,Texas,2008,2008/03,156
48,Texas,2008,2008/04,135
48,Texas,2008,2008/05,104
48,Texas,2008,2008/06,127
